,text
0,without the dataset the article is useless
1,i've got to go to him
2,and you know it
3,down below in the darkness were hundreds of people sleeping in peace
4,hold your nose to keep the smell from disabling your motor functions
5,down below in the darkness were hundreds of people sleeping in peace
6,strange images passed through my mind
7,the sheep had taught him that
8,this was the strangest of all things that ever came to earth from outer space
9,it was glaringly hot not a cloud in the sky nor a breath of wind
10,your son went to serve at a distant place and became a centurion
11,they made the boy continue digging but he found nothing
12,one can imagine these two covered with sand running up the little street in the bright sunlight
13,the shower's in there
14,follow the instructions here
15,they're calling to us not to give up and to keep on fighting
16,the shop is closed on mondays
17,even coming down on the train together she wrote me
18,i'm going away he said
19,it must have fallen while i was sitting over there
20,i'm going into the desert the man answered turning back to his reading
21,he wasn't asking for help
22,some of the grey ash was falling off the circular edge
23,everyone when they are young knows what their destiny is
24,i'd like to think
25,the alchemist probably already knew all that
26,you'll take fifty and like it
27,it was dropping off in flakes and raining down on the sand
28,what's your name he asked
29,it's because you were not born
30,what do you think of that
31,if i had told you you wouldn't have seen the pyramids
32,i haven't heard the baby complain yet
33,i told him we could teach her to ignore people who waste her time
34,the one you're blocking
35,henderson stood up with a spade in his hand
36,he didn't need to seek out the old woman for this
37,only a minority of literature is written this way
38,i wish you wouldn't
39,nature knows me as the wisest being in creation the sun said
40,there is only one way to learn the alchemist answered
41,don't do it for me
42,i'm not working for any other paper
43,that's not so bad
44,i have the diet of a kid who found twenty dollars
45,i have the money i need to buy my sheep
46,the boy looked out at the horizon
47,never mind about that
48,that night there was another jetting out of gas from the distant planet
49,most of them were staring quietly at the big table
50,i make my living forecasting the future for people he said
51,now i will drift gently off to dreamland
52,he did find it soon after dawn and not far from the sand pits
53,of course the two were unable to do anything
54,all they think about is food and water
55,shakespeare never said that
56,you need to see this
57,the boy knew a lot of people in the city
58,frank was dying so they were forced to leave him
59,this is no place for you
60,the boy reminded the old man that he had said something about hidden treasure
61,don't point the gun at me
62,he's the man the ads are written for
63,there was no excuse for goodman to fly off the handle
64,that day the merchant gave the boy permission to build the display
65,i told you to have the ice box fixed
66,it's late in the evening a perfect time for coffee
67,i'm coming fatima he said
68,don't do it for me
69,i'm sure i don't know what you're talking about
70,he felt invisible among all those young people
71,he thought of all the married shepherds he had known
72,you mean spies and things like that
73,but finally the merchant appeared and asked the boy to shear four sheep
74,i just got rid of one crowd
75,every search begins with beginner's luck
76,you can't be the wind the wind said
77,he had surprised himself with the thought
78,he was going to miss the place and all the good things he had learned
79,an huge hole had been made by the impact of the projectile
80,most meteorites are more or less rounded
81,it's candice now on long distance from washington
82,he could always go back to being a shepherd
83,the boy went to his room and packed his belongings
84,do you know what
85,they went in to drink the tea which was served in beautiful crystal glasses
86,this is for you
87,they were men of the desert and they were fearful of sorcerers
88,their faces were hidden behind blue veils with only their eyes showing
89,it seemed so safe and tranquil
90,aren't you going to tell me
91,that's true the boy thought
92,we're refugees from the tribal wars and we need money the other figure said
93,during one of these conversations the driver told of his own life
94,isn't the party also to announce his engagement to joanna
95,he remembered something his grandfather had once told him that butterflies were a good omen
96,i heard a faint movement under my feet
97,he stood irresolute for a moment and then scrambled out of the pit
